Epoch 068 | Mean reward: -0.015295 | Sharpe: -7.40 | MDD: 25.89% | Turnover: 0.5649 | Entropy: 0.0210 | Policy loss: -0.000061 | Value loss: 0.056915
Epoch 069 | Mean reward: -0.005752 | Sharpe: -2.34 | MDD: 8.90% | Turnover: 0.5570 | Entropy: 0.0220 | Policy loss: 0.000142 | Value loss: 0.262966
Epoch 070 | Mean reward: -0.012623 | Sharpe: -5.56 | MDD: 22.66% | Turnover: 0.5607 | Entropy: 0.0214 | Policy loss: 0.000059 | Value loss: 1.265500
Epoch 071 | Mean reward: -0.005999 | Sharpe: -2.51 | MDD: 11.53% | Turnover: 0.5682 | Entropy: 0.0224 | Policy loss: 0.000007 | Value loss: 7.003432
Epoch 072 | Mean reward: -0.012101 | Sharpe: -4.60 | MDD: 18.89% | Turnover: 0.5624 | Entropy: 0.0204 | Policy loss: -0.000084 | Value loss: 37.319305
Epoch 073 | Mean reward: -0.015352 | Sharpe: -5.89 | MDD: 25.34% | Turnover: 0.5652 | Entropy: 0.0241 | Policy loss: 0.000066 | Value loss: 146.066925
Epoch 074 | Mean reward: -0.013897 | Sharpe: -7.16 | MDD: 23.08% | Turnover: 0.5586 | Entropy: 0.0251 | Policy loss: 0.000125 | Value loss: 225.876953
Epoch 075 | Mean reward: -0.002291 | Sharpe: -0.80 | MDD: 11.50% | Turnover: 0.5643 | Entropy: 0.0223 | Policy loss: -0.000023 | Value loss: 179.420807
Epoch 076 | Mean reward: -0.009986 | Sharpe: -3.84 | MDD: 16.88% | Turnover: 0.5623 | Entropy: 0.0226 | Policy loss: 0.000057 | Value loss: 152.910294
Epoch 077 | Mean reward: -0.012967 | Sharpe: -5.55 | MDD: 23.03% | Turnover: 0.5592 | Entropy: 0.0234 | Policy loss: -0.000068 | Value loss: 216.862091
Epoch 078 | Mean reward: -0.016251 | Sharpe: -6.99 | MDD: 26.25% | Turnover: 0.5618 | Entropy: 0.0208 | Policy loss: -0.000046 | Value loss: 413.341461
Epoch 079 | Mean reward: -0.007700 | Sharpe: -3.02 | MDD: 16.60% | Turnover: 0.5612 | Entropy: 0.0198 | Policy loss: -0.000026 | Value loss: 803.878418
Epoch 080 | Mean reward: -0.007160 | Sharpe: -2.67 | MDD: 11.74% | Turnover: 0.5708 | Entropy: 0.0266 | Policy loss: -0.000124 | Value loss: 1109.341187
Epoch 081 | Mean reward: -0.010878 | Sharpe: -4.02 | MDD: 17.97% | Turnover: 0.5567 | Entropy: 0.0166 | Policy loss: 0.000068 | Value loss: 1023.675598
Epoch 082 | Mean reward: -0.015441 | Sharpe: -5.68 | MDD: 26.65% | Turnover: 0.5623 | Entropy: 0.0172 | Policy loss: -0.000131 | Value loss: 647.085815
Epoch 083 | Mean reward: -0.011846 | Sharpe: -4.91 | MDD: 20.89% | Turnover: 0.5577 | Entropy: 0.0205 | Policy loss: 0.000034 | Value loss: 222.185501
Epoch 084 | Mean reward: -0.009573 | Sharpe: -3.91 | MDD: 16.56% | Turnover: 0.5712 | Entropy: 0.0237 | Policy loss: 0.000112 | Value loss: 1.571446
Epoch 085 | Mean reward: -0.007120 | Sharpe: -3.16 | MDD: 14.77% | Turnover: 0.5620 | Entropy: 0.0233 | Policy loss: 0.000031 | Value loss: 104.975441
Epoch 086 | Mean reward: -0.011659 | Sharpe: -3.97 | MDD: 20.69% | Turnover: 0.5708 | Entropy: 0.0239 | Policy loss: 0.000070 | Value loss: 275.254395
Epoch 087 | Mean reward: -0.014681 | Sharpe: -5.52 | MDD: 25.86% | Turnover: 0.5703 | Entropy: 0.0240 | Policy loss: -0.000192 | Value loss: 227.777542
Epoch 088 | Mean reward: -0.011651 | Sharpe: -4.49 | MDD: 22.25% | Turnover: 0.5667 | Entropy: 0.0237 | Policy loss: 0.000040 | Value loss: 86.423012
Epoch 089 | Mean reward: -0.013150 | Sharpe: -5.37 | MDD: 22.14% | Turnover: 0.5566 | Entropy: 0.0197 | Policy loss: -0.000074 | Value loss: 5.993758
Epoch 090 | Mean reward: -0.010148 | Sharpe: -3.71 | MDD: 19.01% | Turnover: 0.5567 | Entropy: 0.0193 | Policy loss: 0.000051 | Value loss: 11.949829
Epoch 091 | Mean reward: -0.013240 | Sharpe: -5.02 | MDD: 21.67% | Turnover: 0.5740 | Entropy: 0.0249 | Policy loss: 0.000093 | Value loss: 18.834332
Epoch 092 | Mean reward: -0.011344 | Sharpe: -4.35 | MDD: 22.24% | Turnover: 0.5649 | Entropy: 0.0225 | Policy loss: -0.000130 | Value loss: 1.765128
Epoch 093 | Mean reward: -0.015432 | Sharpe: -5.69 | MDD: 25.27% | Turnover: 0.5535 | Entropy: 0.0185 | Policy loss: 0.000193 | Value loss: 5.440337
Epoch 094 | Mean reward: -0.011737 | Sharpe: -4.85 | MDD: 21.92% | Turnover: 0.5582 | Entropy: 0.0214 | Policy loss: 0.000145 | Value loss: 11.384684
Epoch 095 | Mean reward: -0.005340 | Sharpe: -1.90 | MDD: 10.69% | Turnover: 0.5703 | Entropy: 0.0247 | Policy loss: -0.000046 | Value loss: 29.958866
Epoch 096 | Mean reward: -0.011998 | Sharpe: -6.11 | MDD: 19.94% | Turnover: 0.5535 | Entropy: 0.0204 | Policy loss: -0.000071 | Value loss: 80.876114
Epoch 097 | Mean reward: -0.009811 | Sharpe: -3.92 | MDD: 17.30% | Turnover: 0.5623 | Entropy: 0.0229 | Policy loss: -0.000143 | Value loss: 184.438385
Epoch 098 | Mean reward: -0.013573 | Sharpe: -5.19 | MDD: 24.24% | Turnover: 0.5627 | Entropy: 0.0217 | Policy loss: -0.000046 | Value loss: 392.589691
Epoch 099 | Mean reward: -0.013436 | Sharpe: -5.11 | MDD: 22.14% | Turnover: 0.5656 | Entropy: 0.0208 | Policy loss: 0.000040 | Value loss: 726.044434
Epoch 100 | Mean reward: -0.005791 | Sharpe: -2.03 | MDD: 16.21% | Turnover: 0.5545 | Entropy: 0.0211 | Policy loss: 0.000046 | Value loss: 894.167175
Epoch 101 | Mean reward: -0.010930 | Sharpe: -4.15 | MDD: 20.77% | Turnover: 0.5659 | Entropy: 0.0239 | Policy loss: -0.000054 | Value loss: 737.353149
Epoch 102 | Mean reward: -0.008630 | Sharpe: -3.24 | MDD: 15.68% | Turnover: 0.5599 | Entropy: 0.0209 | Policy loss: 0.000033 | Value loss: 427.898438
Epoch 103 | Mean reward: -0.013462 | Sharpe: -5.36 | MDD: 23.11% | Turnover: 0.5661 | Entropy: 0.0249 | Policy loss: -0.000146 | Value loss: 305.155914
Epoch 104 | Mean reward: -0.005861 | Sharpe: -2.21 | MDD: 11.41% | Turnover: 0.5666 | Entropy: 0.0219 | Policy loss: -0.000003 | Value loss: 363.220459
Epoch 105 | Mean reward: -0.012228 | Sharpe: -4.52 | MDD: 22.75% | Turnover: 0.5619 | Entropy: 0.0221 | Policy loss: 0.000014 | Value loss: 430.384766
Epoch 106 | Mean reward: -0.014721 | Sharpe: -5.60 | MDD: 23.42% | Turnover: 0.5697 | Entropy: 0.0207 | Policy loss: -0.000128 | Value loss: 368.006653
Epoch 107 | Mean reward: -0.008473 | Sharpe: -3.27 | MDD: 13.51% | Turnover: 0.5599 | Entropy: 0.0172 | Policy loss: 0.000026 | Value loss: 214.658783
Epoch 108 | Mean reward: -0.016786 | Sharpe: -5.71 | MDD: 28.87% | Turnover: 0.5537 | Entropy: 0.0226 | Policy loss: -0.000039 | Value loss: 75.773300
Epoch 109 | Mean reward: -0.016651 | Sharpe: -5.80 | MDD: 27.17% | Turnover: 0.5654 | Entropy: 0.0225 | Policy loss: 0.000011 | Value loss: 11.994322
